title,date,author,link
Спикер Госдумы: попытка принять резолюцию по ситуации с Навальным в ПАСЕ не удалась,14:36,Ольга Шульга ,https://www.pnp.ru/politics/spiker-gosdumy-popytka-prinyat-rezolyuciyu-po-situacii-s-navalnym-v-pase-ne-udalas.html
"Слуцкий: делегация РФ покинет Страсбург, если её полномочия не подтвердятся",14:34,Тамила Аскерова,https://www.pnp.ru/politics/sluckiy-delegaciya-rf-pokinet-strasburg-esli-eyo-polnomochiya-ne-podtverdyatsya.html
"Пандемия не помешает исполнению плана по Десятилетию детства, считает Святенко",14:33,Анна Шушкина,https://www.pnp.ru/politics/pandemiya-ne-pomeshaet-ispolneniyu-plana-po-desyatiletiyu-detstva-schitaet-svyatenko.html
Володин: вице-спикер Госдумы Пётр Толстой утверждён заместителем председателя ПАСЕ,14:31,Ольга Шульга ,https://www.pnp.ru/politics/volodin-vice-spiker-gosdumy-petr-tolstoy-utverzhden-zamestitelem-predsedatelya-pase.html
"Появилась возможность аккуратно снимать ограничения по COVID-19, заявил Путин",14:27,Алёна Анисимова,https://www.pnp.ru/social/putin-poyavilas-vozmozhnost-akkuratno-snimat-ogranicheniya-po-covid-19.html
В 18 регионах России сохраняется опасность схода лавин,14:24,Алёна Анисимова,https://www.pnp.ru/social/v-18-regionakh-rossii-sokhranyaetsya-opasnost-skhoda-lavin.html
Сенаторы готовят систему штрафов для интернет-гигантов за нарушение российских законов,14:23,Никита Вятчанин ,https://www.pnp.ru/politics/senatory-razrabatyvayut-sistemu-shtrafov-dlya-internet-gigantov-za-narushenie-zakonov-rf.html
СМИ: законопроект о штрафах за незаконный сбор пожертвований могут принять в марте,09:50,Юлия  Тихонова ,https://www.pnp.ru/politics/smi-zakonoproekt-o-shtrafakh-za-nezakonnyy-sbor-pozhertvovaniy-mogut-prinyat-v-marte.html
На строительство спортивных объектов в регионах направят 2 млрд рублей,09:44,Марьям Гулалиева,https://www.pnp.ru/social/na-stroitelstvo-sportivnykh-obektov-v-regionakh-napravyat-2-mlrd-rubley.html
В МВД назвали основные причины запрета на въезд в Россию иностранцам ,09:31,Марьям Гулалиева,https://www.pnp.ru/social/v-mvd-nazvali-osnovnye-prichiny-zapreta-na-vezd-v-rossiyu-inostrancam.html
Володин поздравил студентов с Татьяниным днём,09:26,Светлана Заверняева,https://www.pnp.ru/politics/volodin-pozdravil-studentov-s-tatyaninym-dnem-2.html
СМИ: Минтранс не поддержал идею вывести ретромашины из-под действия запрещающих знаков,09:16,Марьям Гулалиева,https://www.pnp.ru/economics/smi-mintrans-ne-podderzhal-ideyu-vyvesti-retromashiny-iz-pod-deystviya-zapreshhayushhikh-znakov.html
Минздрав: существующие лекарства от COVID-19 не подходят новорождённым,09:14,Юлия  Тихонова ,https://www.pnp.ru/social/minzdrav-sushhestvuyushhie-lekarstva-ot-covid-19-ne-podkhodyat-novorozhdennym.html
"Женщинам не следует беременеть три месяца после COVID-19, заявили в Минздраве",08:58,Юлия  Тихонова ,https://www.pnp.ru/social/minzdrav-zhenshhinam-ne-sleduet-beremenet-tri-mesyaca-posle-covid-19.html
В инструкции к российской вакцине от COVID-19 появилось предупреждение для онкобольных ,08:55,Марьям Гулалиева,https://www.pnp.ru/social/v-instrukcii-k-rossiyskoy-vakcine-ot-covid-19-poyavilos-preduprezhdenie-dlya-onkobolnykh.html
В Минздраве заявили об отсутствии доказательств вертикальной передачи COVID-19 ребёнку,08:32,Марьям Гулалиева,https://www.pnp.ru/social/v-minzdrave-zayavili-ob-otsutstvii-dokazatelstv-vertikalnoy-peredachi-covid-19-rebyonku.html
"Время ремонта в жилых домах предложили ограничить до трёх дней в неделю, пишут СМИ ",08:16,Марьям Гулалиева,https://www.pnp.ru/social/vremya-remonta-v-zhilykh-domakh-predlozhili-ogranichit-do-tryokh-dney-v-nedelyu-pishut-smi.html
СМИ: в Италии корректируют план вакцинации от коронавируса ,08:01,Александр  Тараканов,https://www.pnp.ru/in-world/smi-v-italii-korrektiruyut-plan-vakcinacii-ot-koronavirusa.html
Понятие «физкультурно-оздоровительная услуга» предложили прописать в законе,07:40,Ольга Шульга ,https://www.pnp.ru/social/ponyatie-fizkulturno-ozdorovitelnaya-usluga-predlozhili-propisat-v-zakone.html
В России предлагают провести гаражную амнистию,07:00,Ольга Шульга ,https://www.pnp.ru/social/v-rossii-predlagayut-provesti-garazhnuyu-amnistiyu.html
Госзащиту хотят распространить на всех сотрудников Росгвардии,01:27,Дмитрий Гончарук,https://www.pnp.ru/social/goszashhitu-khotyat-rasprostranit-na-vsekh-sotrudnikov-rosgvardii.html
За нарушение компьютерной безопасности предлагают штрафовать,01:22,Дмитрий Гончарук,https://www.pnp.ru/economics/za-narushenie-kompyuternoy-bezopasnosti-predlagayut-shtrafovat.html
102 года назад открылась первая государственная библиотечная сессия в советской России,01:17,Анастасия Яланская,https://www.pnp.ru/social/102-goda-nazad-otkrylas-pervaya-gosudarstvennaya-bibliotechnaya-sessiya-v-sovetskoy-rossii.html
Результаты медосмотров мигрантов занесут в специальный реестр,01:12,Анна Шушкина,https://www.pnp.ru/social/rezultaty-medosmotrov-migrantov-zanesut-v-specialnyy-reestr.html
Минздрав РФ хотят наделить правом согласовывать кандидатуры региональных министров,01:07,Анна Шушкина,https://www.pnp.ru/social/minzdrav-rf-khotyat-nadelit-pravom-soglasovyvat-kandidatury-regionalnykh-ministrov.html
Налоговые вычеты предлагают оформлять через личный кабинет на сайте ФНС,00:47,Анна Шушкина,https://www.pnp.ru/social/nalogovye-vychety-predlagayut-oformlyat-cherez-lichnyy-kabinet-na-sayte-fns.html
Когда Московский государственный университет отмечает день рождения,00:37,Анастасия Яланская,https://www.pnp.ru/social/kogda-moskovskiy-gosudarstvennyy-universitet-otmechaet-den-rozhdeniya.html
Повышенную ставку НДФЛ предлагают применять в отношении дивидендов,19:03,Анна Шушкина,https://www.pnp.ru/economics/povyshennuyu-stavku-ndfl-predlagayut-primenyat-v-otnoshenii-dividendov.html
Госдума рассмотрит кандидатуры в новый состав ЦИК 24 февраля ,18:55,Светлана Заверняева,https://www.pnp.ru/politics/gosduma-rassmotrit-kandidatury-v-novyy-sostav-cik-24-fevralya.html
Минсельхоз не обсуждает дополнительных мер для стабилизации цен,18:52,Елена Ботороева,https://www.pnp.ru/economics/minselkhoz-ne-obsuzhdaet-dopolnitelnykh-mer-dlya-stabilizacii-cen.html
СМИ: врачи призывают ввести в Италии месячный локдаун из-за задержек с поставками вакцины,18:49,Александр  Тараканов,https://www.pnp.ru/social/na-vkhodakh-v-gosdumu-ustanovyat-schityvayushhie-biometriyu-ustroystva.html
В Стамбуле задержали напавшего с ножом на россиян,18:48,Тамила Аскерова,https://www.pnp.ru/in-world/v-stambule-zaderzhali-napavshego-s-nozhom-na-rossiyan.html
В Петербурге обсудят смягчение ограничений по COVID-19,18:46,Алёна Анисимова,https://www.pnp.ru/social/v-peterburge-obsudyat-smyagchenie-ogranicheniy-po-covid-19.html
